Common Date,Brazil,Indonesia,Mexico,India,China
02-08-2021,122516,6096.542969,50869.48047,15885.15039,3464.290039
03-08-2021,123577,6130.570801,51633.91016,16130.75,3447.98999
04-08-2021,121801,6159.035156,51195.42969,16258.79981,3477.219971
05-08-2021,121633,6205.416992,51134.92969,16294.59961,3466.550049
06-08-2021,122810,6203.431152,51113.85156,16238.2002,3458.22998
09-08-2021,123019,6127.456055,50900.46094,16258.25,3494.629883
10-08-2021,122202,6088.408203,51114.16016,16280.09961,3529.929932
12-08-2021,120701,6139.651855,51049.69141,16364.40039,3524.73999
13-08-2021,121194,6139.492188,51490.94141,16529.09961,3516.300049
16-08-2021,119180,6087.913086,51384.91016,16563.05078,3517.340088
18-08-2021,116643,6118.149902,51986.07813,16568.84961,3485.285889
20-08-2021,118053,6030.771973,51414.32031,16450.5,3427.333984
23-08-2021,117472,6109.828125,52054.64063,16496.44922,3477.129883
24-08-2021,120211,6089.49707,51985,16624.59961,3514.470947
25-08-2021,120818,6113.240234,52345.39063,16634.65039,3540.379883
26-08-2021,118724,6058.080078,52290.69141,16636.90039,3501.664063
27-08-2021,120678,6041.366211,52425.64063,16705.19922,3522.156982
30-08-2021,119740,6144.901855,52602.07031,16931.05078,3528.150879
31-08-2021,118781,6150.298828,53304.73828,17132.19922,3543.939941
01-09-2021,119396,6090.933105,52215.53906,17076.25,3567.100098
02-09-2021,116677,6078.229004,52087.46875,17234.15039,3597.040039
03-09-2021,116933,6126.920898,51835.08984,17323.59961,3581.72998
06-09-2021,117869,6126.937988,52283.10938,17377.80078,3621.860107
08-09-2021,113413,6026.02002,51469.71875,17353.5,3675.189941
09-09-2021,115361,6068.219238,51395.05859,17369.25,3693.129883
13-09-2021,116404,6088.157227,51496.71094,17355.30078,3715.370117
14-09-2021,116181,6129.095215,51815.17188,17380,3662.600098
15-09-2021,115063,6110.229004,52192.32813,17519.44922,3656.219971
17-09-2021,111439,6133.246094,51307.71094,17585.15039,3613.969971
22-09-2021,112282,6108.265137,51338.33984,17546.65039,3628.48999
23-09-2021,114064,6142.711914,51464.26953,17822.94922,3642.219971
24-09-2021,113283,6144.814941,51105.71094,17853.19922,3613.070068
27-09-2021,113583,6122.495117,51598.53125,17855.09961,3582.830078
28-09-2021,110124,6113.111816,50925.51953,17748.59961,3602.219971
29-09-2021,111107,6162.554199,51084.60938,17711.30078,3536.290039
30-09-2021,110979,6286.942871,51385.55078,17618.15039,3568.169922
08-10-2021,112833,6481.769043,51136.62109,17895.19922,3592.169922
11-10-2021,112180,6459.696777,51646.75,17945.94922,3591.709961
13-10-2021,113456,6536.903809,51812.87109,18161.75,3561.76001
14-10-2021,113185,6626.11377,52140.23828,18338.55078,3558.280029
18-10-2021,114428,6658.768066,52686.03125,18477.05078,3568.139893
19-10-2021,110673,6655.998047,52402.73047,18418.75,3593.149902
21-10-2021,107735,6632.972168,52020.05078,18178.09961,3594.780029
22-10-2021,106296,6643.737793,51889.66016,18114.90039,3582.600098
25-10-2021,108715,6625.696777,51833.80078,18125.40039,3609.860107
26-10-2021,106420,6656.937012,52206.58984,18268.40039,3597.639893
27-10-2021,106363,6602.208984,51714.60156,18210.94922,3562.310059
28-10-2021,105705,6524.076172,51248.83984,17857.25,3518.419922
29-10-2021,103501,6591.346191,51309.83984,17671.65039,3547.340088
01-11-2021,105551,6552.88916,51653.26172,17929.65039,3544.47998
03-11-2021,105617,6552.129883,51876.80859,17829.19922,3498.540039
04-11-2021,103412,6586.442871,51873.46094,17916.80078,3526.870117
08-11-2021,104781,6632.296875,52251.48828,18068.55078,3498.629883
09-11-2021,105535,6669.924805,52114.12109,18044.25,3507
10-11-2021,105968,6683.14502,51704.39844,18017.19922,3492.459961
11-11-2021,107725,6691.341797,51707.01172,17873.59961,3532.790039
12-11-2021,106312,6651.054199,51432.53906,18102.75,3539.100098
16-11-2021,104508,6651.207031,51161.5,17999.19922,3521.790039
17-11-2021,102945,6675.804199,51045.10156,17898.65039,3537.370117
18-11-2021,102524,6636.469238,50831.94922,17764.80078,3520.709961
22-11-2021,102122,6723.38623,50497.07813,17416.55078,3582.080078
23-11-2021,103663,6677.875977,51116.32031,17503.34961,3589.089111
